"plant_species_code","plant_species","meanL","meanD1","meanHeight","CropMass"
"P01","Alchornea_100",6.1,7.1,8,225.1
"P02","Cecropia_101",240,16.5,20,100
"P03","Dacryodes_100",12,13,10,600
"P04","Guettarda_101",7.1,6.2,10,245.4
"P05","Indet_100",8.6,6.4,4,8.8
"P06","Indet_101",8.4,6.9,0.5,0.7
"P07","Indet_102",9,7,15,2000
"P08","Indet_103",21.6,25.1,14,1865
"P09","Indet_105",5,5,11,150
"P10","Loranthaceae_100",15.2,11.4,20,111.3
"P11","Miconia_100",2.9,3.8,5,5.5
"P12","Miconia_101",2.4,2.1,6,78
"P13","Miconia_106",4.2,1.8,27,62.7
"P14","Miconia_107",2.1,2.4,10,7.1
"P15","Miconia_108",4.3,6.3,8,14.6
"P16","Miconia_111",4.9,5.9,14,154.7
"P17","Miconia_112",2.5,3.2,10,195.6
"P18","Miconia_115",7,8.8,10,270.9
"P19","Miconia_116",5.4,6.2,9,191.7
"P20","Miconia_118",3,4.4,3,23.8
"P21","Mollia_100",13.5,14.6,25,738.2
"P22","Myrsine_coriacea",3.2,3.5,16,111.9
"P23","Piper_102",213.4,8.5,3,112.6
"P24","Rubus_100",6.2,3.9,25,58
"P25","Schefflera_100",5.5,4.8,18,550.3
"P26","Urera_100",6.5,7,1.5,11.3
