"plant_species_code","plant_species","meanL","meanD1","meanHeight","CropMass"
"P01","Anthurium_obtusum",2.7,2.9,5,0.8
"P02","Banara_arguta",8.9,9,5.2,241.5
"P03","Brunellia_stenoptera",2.8,4.5,14,143.7
"P04","Casearia_corymbosa",10.5,10,10.6,1778.6
"P05","Cecropia_polystachya",71.5,20.4,13,6813.4
"P06","Cecropia_strigosa",170.3,9.2,12.1,3813.1
"P07","Cestrum_parqui",6.6,5.9,3.9,470.8
"P08","Cestrum_stipulatum",9.5,6.9,4,225
"P09","Coussarea_sp1",10.3,7.8,2,2.7
"P10","Croton_rusbyi",4.9,6.5,6.8,7.2
"P11","Elaeagia_mariae",2.7,2.8,9.8,22.4
"P12","Endlicheria_sp",27.7,12.3,13.8,3986.1
"P13","Ficus_americana",4.7,3.7,15,606.7
"P14","Ficus_coerulescens",5.2,6.2,15,5400
"P15","Graffenrieda_cucullata",5.6,4.7,8.3,58.1
"P16","Guatteria_duodecima",22.3,17.4,13.3,7372.2
"P17","Guatteria_terminalis",8.7,5.4,7.3,427.1
"P18","Guettarda_crispiflora",9.2,8.5,10.5,1448.6
"P19","Hedyosmum_tepuiense",10.2,7.7,5.3,583.5
"P20","Ilex_nervosa",5,6.1,10.7,816.4
"P21","Isertia_laevis",10.5,11.6,10.1,1100.5
"P22","Miconia_affinis",4.4,5,6.3,222.6
"P23","Miconia_aprica",3.1,3.2,7,333.7
"P24","Miconia_barbeyana",3.5,4,3.3,32.6
"P25","Miconia_calvescens",3.8,4.2,4.7,121.4
"P26","Miconia_cyanocarpa",3.4,3.6,4.1,416.3
"P27","Miconia_egensis",1.9,2.2,6.5,76.3
"P28","Miconia_hygrophila",3.3,3.3,4.2,18.4
"P29","Miconia_longifolia",3.7,4.2,12.3,293.3
"P30","Miconia_myriantha",2.9,2.7,7.3,7.9
"P31","Miconia_prasina",3.6,4.4,9,64.6
"P32","Miconia_sp3",7.5,10.1,4,488.1
"P33","Miconia_sp6",4.2,4.5,7.1,27
"P34","Miconia_spennerostachya",3.9,5.1,5.2,632.4
"P35","Myrcia_fallax",8.1,6.2,10.7,544.6
"P36","Myrsine_coriacea",3.1,2.9,2.5,21.7
"P37","Neea_sp1",17.7,14.6,4,2047.5
"P38","Ocotea_sp",8.4,8.5,12,850
"P39","Palicourea_lineata",5.9,6.3,5,114.4
"P40","Peristethium_polystachyum",6.2,3.7,3.5,139.4
"P41","Phoradendron_chrysocladon",3.8,3.2,7,16.4
"P42","Pleurothyrium_trianae",13.5,10.7,10.8,574.5
"P43","Rubus_floribundus",10.2,9.9,5.4,851
"P44","Schefflera_mathewsii",8.9,5.2,7.5,1951.3
"P45","Siparuna_sp",24.3,26.3,3.9,555
"P46","Smilax_domingensis",10.7,11.6,7.6,92.5
"P47","Symplocos_arechea",19.8,12.6,9.8,3650.6
"P48","Trema_micrantha",2.6,2.2,9.1,1.5
"P49","Turpinia_occidentalis",7.2,8.3,7.2,235.9
"P50","Viburnum_hallii",6.9,6.1,5.5,249.3
"P51","Vismia_gracilis",13.7,10.4,9.5,1087
"P52","Zanthoxylum_mantaro",4.6,3.8,6.1,27.9
