"plant_species","plant_species_code","animal_species","animal_species_code","frequency"
"Leandra_carassana","P15","Elaenia_obscura","B13",0
"Leandra_carassana","P15","Elaenia_pallatangae","B14",0
"Leandra_carassana","P15","Entomodestes_leucotis","B15",0
"Leandra_carassana","P15","Eubucco_versicolor","B16",0
"Leandra_carassana","P15","Euphonia_xanthogaster","B17",0
"Leandra_carassana","P15","Hapalopsittaca_melanotis","B18",0
"Leandra_carassana","P15","Lipaugus_uropygialis","B19",0
"Leandra_carassana","P15","Mionectes_striaticollis","B20",0
"Leandra_carassana","P15","Parula_pitiayumi","B21",0
"Leandra_carassana","P15","Patagioenas_fasciata","B22",0
"Leandra_carassana","P15","Patagioenas_plumbea","B23",0
"Leandra_carassana","P15","Penelope_montagnii","B24",0
"Leandra_carassana","P15","Pheucticus_aureoventris","B25",0
"Leandra_carassana","P15","Phyllomyias_uropygialis","B26",0
"Leandra_carassana","P15","Pionus_sordidus","B27",0
"Leandra_carassana","P15","Pionus_tumultuosus","B28",0
"Leandra_carassana","P15","Pipreola_frontalis","B29",0
"Leandra_carassana","P15","Pipreola_intermedia","B30",0
"Leandra_carassana","P15","Psarocolius_decumanus","B31",0
"Leandra_carassana","P15","Pyrrhura_molinae","B32",0
"Leandra_carassana","P15","Tangara_vassorii","B33",1
"Leandra_carassana","P15","Tangara_xantocephala","B34",0
"Leandra_carassana","P15","Thraupis_cyanocephala","B35",0
"Leandra_carassana","P15","Thraupis_palmarum","B36",0
"Leandra_carassana","P15","Thraupis_sayaca","B37",0
"Leandra_carassana","P15","Trogon_personatus","B38",0
"Leandra_carassana","P15","Turdus_albicollis","B39",0
"Leandra_carassana","P15","Turdus_serranus","B40",0
"Leandra_carassana","P15","Veniliornis_nigriceps","B41",0
"Lepismium_bolivianum","P16","Anisognathus_igniventris","B01",0
"Lepismium_bolivianum","P16","Anisognathus_somptuosus","B02",0
"Lepismium_bolivianum","P16","Aratinga_mitrata","B03",0
"Lepismium_bolivianum","P16","Atlapetes_rufinucha","B04",0
"Lepismium_bolivianum","P16","Aulacorhynchus_coeruleicintis","B05",0
"Lepismium_bolivianum","P16","Catharus_ustulatus","B06",0
"Lepismium_bolivianum","P16","Chiroxiphia_boliviana","B07",0
"Lepismium_bolivianum","P16","Chlorophonia_cyanea","B08",2
"Lepismium_bolivianum","P16","Chlorospingus_ophthalmicus","B09",0
"Lepismium_bolivianum","P16","Cyanocoras_cyanomelas","B10",0
"Lepismium_bolivianum","P16","Cyanocorax_yncas","B11",0
"Lepismium_bolivianum","P16","Diglossa_cyanea","B12",0
"Lepismium_bolivianum","P16","Elaenia_obscura","B13",0
"Lepismium_bolivianum","P16","Elaenia_pallatangae","B14",0
