Country	Species	KippsIndex	BillLength	BillWidth	Bodymass
Colombia	Euphonia_xanthogaster	0.22	11.7	7.4	13
Colombia	Leptopogon_rufipectus	0.07	13.0	6.5	13.1875
Colombia	Lipaugus_fuscocinereus	0.37	31.8	20.6	137.5
Colombia	Masius_chrysopterus	0.11	10.0	6.9	11.93333333
Colombia	Mecocerculus_poecilocercus	0.13	9.0	5.0	6.6
Colombia	Mionectes_striaticollis	0.28	13.2	6.8	12.625
Colombia	Momotus_aequatorialis	0.15	43.4	17.6	156
Colombia	Myadestes_ralloides	0.21	17.8	12.1	29.1
Colombia	Pachyramphus_polychopterus	0.10	14.8	9.7	22.03333333
Colombia	Pachyramphus_versicolor	0.08	11.2	6.9	15.5
Colombia	Patagioenas_cayennensis	0.35	25.6	8.6	229
Colombia	Patagioenas_subvinacea	0.35	19.0	7.1	169.5
Colombia	Penelope_montagnii	0.22	33.7	18.1	706
Colombia	Penelope_perspicax	0.05	40.5	18.3	1300
Colombia	Pharomachrus_auriceps	0.37	30.0	22.6	180
Colombia	Pheucticus_ludovicianus	0.27	18.7	12.0	42
Colombia	Phyllomyias_nigrocapillus	0.13	8.4	4.9	9.583333333
Colombia	Phyllomyias_plumbeiceps	0.15	8.8	5.7	8.8
Colombia	Phylloscartes_ophthalmicus	0.11	9.5	5.5	8.4
Colombia	Pipraeidea_melanonota	0.24	12.9	7.8	18.5
Colombia	Pipreola_riefferii	0.14	17.0	11.5	53.26666667
Colombia	Piranga_flava	0.11	14.4	10.2	37.7
Colombia	Piranga_leucoptera	0.18	14.8	9.1	17.75
Colombia	Piranga_rubra	0.09	17.4	10.0	26.85
Colombia	Poecilotriccus_ruficeps	0.09	12.5	5.2	6.6225
Colombia	Pyroderus_scutatus	0.08	42.6	23.7	357
Colombia	Rupicola_peruvianus	0.12	31.9	20.9	244
Colombia	Tangara_arthus	0.22	14.3	8.5	22
Colombia	Tangara_heinei	0.15	11.2	7.5	20.6
Colombia	Tangara_labradorides	0.13	11.8	7.3	14.875
Colombia	Tangara_nigroviridis	0.14	11.5	7.4	17.08333333
Colombia	Tangara_vassorii	0.23	12.8	8.0	18
Colombia	Tangara_vitriolina	0.10	12.9	7.6	22.75
Colombia	Tangara_xanthocephala	0.22	12.8	7.3	19
Colombia	Thraupis_cyanocephala	0.16	16.9	10.7	36
Colombia	Trogon_collaris	0.34	21.1	16.8	55.03333333
Colombia	Trogon_personatus	0.37	21.2	16.0	63.4
Colombia	Turdus_ignobilis	0.22	24.9	11.9	63.85
Colombia	Turdus_serranus	0.21	30.7	13.3	84.9
Colombia	Vireo_leucophrys	0.09	11.7	6.0	12.325
Colombia	Wilsonia_canadensis	0.09	10.6	5.5	10.26666667
Colombia	Zimmerius_viridiflavus	0.08	9.1	5.6	9.133333333
Ecuador	Ammodramus_aurifrons	0.12	14.0	6.9	17.8
Ecuador	Ampelion_rubrocristatus	0.23	21.6	14.3	66.29
Ecuador	Anairetes_parulus	0.12	11.8	4.8	6.2
Ecuador	Anisognathus_igniventris	0.16	15.6	10.6	34
Ecuador	Anisognathus_lacrymosus	0.28	12.4	9.8	31
Ecuador	Anisognathus_somptuosus	0.18	17.6	10.2	44
Ecuador	Arremon_aurantiirostris	0.11	15.6	8.8	34.5
