Country	Species	meanL	meanD1	meanHeight	CropMass
Colombia	Palicourea_angustifolia	10.8	13.3	5.5	335.2
Colombia	Palicourea_ovalis	9.4	11.2	5.7	152.3
Colombia	Passiflora_alnifolia	14.6	15.0	10.0	537.1
Colombia	Psychotria_sp	6.3	5.9	6.0	10.5
Colombia	Rubus_glaucus	11.9	11.5	0.5	16.8
Colombia	Santalum_sp	5.5	4.1	15.0	0.5
Colombia	Siparuna_laurifolia	6.5	4.6	6.0	1.7
Colombia	Smilax_spinosa	12.2	15.1	30.0	212.3
Colombia	Solanum_colombianum	16.9	17.2	18.0	1870.6
Colombia	Thibaudia_floribundia	6.7	7.9	11.0	5069.3
Colombia	Tournefortia_fuliginosa	6.2	7.1	8.0	264.7
Colombia	Tovomita_guianensis	5.6	5.2	35.0	1.9
Ecuador	Alchornea_100	6.1	7.1	8.0	225.1
Ecuador	Cecropia_101	240.0	16.5	20.0	100.0
Ecuador	Cecropia_andina	180.0	8.0	16.0	77.0
Ecuador	Cecropia_angustifolia	57.0	12.5	20.0	57.0
Ecuador	Cedrela_cf_nebulosa	36.4	19.6	20.0	2437.4
Ecuador	Clethra_revoluta	3.1	5.2	5.0	4.0
Ecuador	Dacryodes_100	12.0	13.0	10.0	600.0
Ecuador	Ericaceae_300	4.3	2.8	7.0	NA
Ecuador	Ericaceae_301	3.0	3.2	5.0	NA
Ecuador	Ericaceae_302	5.1	5.6	3.0	NA
Ecuador	Ericaceae_303	5.3	5.6	3.0	NA
Ecuador	Ericaceae_305	NA	NA	NA	NA
Ecuador	Escallonia_paniculata	6.1	5.1	5.0	127.5
Ecuador	Faramea_202	10.0	15.6	7.0	6218.4
Ecuador	Fuchsia_lehmannii	8.7	4.6	3.0	13.0
Ecuador	Gaultheria_erecta	3.5	4.7	2.5	0.5
Ecuador	Gordonia_fruticosa	13.9	13.6	7.0	NA
Ecuador	Graffenrieda_emarginata	3.1	4.7	16.0	34.3
Ecuador	Graffenrieda_harlingii	4.3	3.9	9.0	3.5
Ecuador	Guettarda_101	7.1	6.2	10.0	245.4
Ecuador	Guettarda_hirsuta	8.1	7.5	7.0	6.6
Ecuador	Hedyosmum_scabrum	9.0	8.3	3.0	NA
Ecuador	Indet_100	8.6	6.4	4.0	8.8
Ecuador	Indet_101	8.4	6.9	0.5	0.7
Ecuador	Indet_102	9.0	7.0	15.0	2000.0
Ecuador	Indet_103	21.6	25.1	14.0	1865.0
Ecuador	Indet_105	5.0	5.0	11.0	150.0
Ecuador	Indet_201	15.6	13.3	15.0	79.1
Ecuador	Isertia_laevis	10.3	11.6	17.0	756.1
Ecuador	Loranthaceae_100	15.2	11.4	20.0	111.3
Ecuador	Miconia_100	2.9	3.8	5.0	5.5
Ecuador	Miconia_101	2.4	2.1	6.0	78.0
Ecuador	Miconia_106	4.2	1.8	27.0	62.7
Ecuador	Miconia_107	2.1	2.4	10.0	7.1
Ecuador	Miconia_108	4.3	6.3	8.0	14.6
Ecuador	Miconia_111	4.9	5.9	14.0	154.7
Ecuador	Miconia_112	2.5	3.2	10.0	195.6
Ecuador	Miconia_115	7.0	8.8	10.0	270.9
Ecuador	Miconia_116	5.4	6.2	9.0	191.7
Ecuador	Miconia_118	3.0	4.4	3.0	23.8
Ecuador	Miconia_201	5.3	6.3	8.0	296.5
Ecuador	Miconia_305	4.4	4.4	5.5	3.8
Ecuador	Miconia_306	4.1	4.5	5.0	2.3
Ecuador	Miconia_307	1.2	1.4	5.0	0.0
Ecuador	Miconia_punctata	3.4	3.9	10.0	441.9
Ecuador	Miconia_radula	6.2	6.3	4.0	19.3
Ecuador	Miconia_theaezans	6.6	6.2	11.0	290.2
Ecuador	Mollia_100	13.5	14.6	25.0	738.2
Ecuador	Myrsine_coriacea	3.2	3.5	16.0	111.9
Ecuador	Nertera_depressa	5.4	5.5	0.1	NA
Ecuador	Palicourea_200	5.7	10.9	10.0	138.9
