	Anisognathus_somptuosus	Aratinga_leucophthalma	Aulacorhynchus_derbianus	Catharus_ustulatus	Cephalopterus_ornatus	Chiroxiphia_boliviana	Chlorochrysa_calliparaea	Chlorophonia_cyanea	Chlorospingus_flavigularis	Chlorospingus_ophthalmicus	Chlorospingus_parvirostris	Colaptes_rubiginosus	Cyanerpes_caeruleus	Cyanocorax_yncas	Dacnis_cayana	Diglossa_caerulescens	Diglossa_cyanea	Diglossa_glauca	Elaenia_albiceps	Elaenia_pallatangae	Entomodestes_leucotis	Eubucco_versicolor	Euphonia_mesochrysa	Euphonia_xanthogaster	Iridophanes_pulcherrimus	Iridosornis_analis	Lepidothrix_coeruleocapilla	Lophotriccus_pileatus	Mionectes_striaticollis	Myadestes_ralloides	Ortalis_guttata	Patagioenas_plumbea	Penelope_montagnii	Pharomachrus_antisianus	Pharomachrus_auriceps	Pipreola_intermedia	Piranga_rubra	Psarocolius_angustifrons	Psarocolius_atrovirens	Ramphocelus_carbo	Rupicola_peruvianus	Saltator_maximus	Tangara_arthus	Tangara_chilensis	Tangara_chrysotis	Tangara_cyanicollis	Tangara_gyrola	Tangara_nigroviridis	Tangara_punctata	Tangara_ruficervix	Tangara_vassorii	Tangara_xanthocephala	Thraupis_bonariensis	Thraupis_cyanocephala	Thraupis_episcopus	Thraupis_palmarum	Trichothraupis_melanops	Trogon_personatus	Turdus_chiguanco	Xenopipo_unicolor	Zimmerius_bolivianus
Guatteria_duodecima	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Guatteria_terminalis	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Guettarda_crispiflora	0	0	0	2	0	0	2	0	5	3	0	0	0	0	1	0	0	5	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	2	0	10	2	0	2	5	1	1	1	0	2	0	0	0	0	0	0	0	0	0
Hedyosmum_tepuiense	0	0	0	14	0	0	1	0	12	6	8	0	0	0	0	0	1	0	0	0	6	5	0	0	0	5	1	1	0	11	5	0	2	1	0	2	0	0	0	20	8	0	10	11	2	2	0	1	1	0	0	1	1	2	18	6	0	0	10	6	0
Ilex_nervosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Isertia_laevis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	4	0	0	2	0	0	4	0	2	3	0	0	1	0	0	0	0	0	0	0	0	0
Miconia_affinis	0	0	0	0	0	0	1	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Miconia_aprica	4	0	0	0	0	4	160	70	99	54	54	16	1	19	1	16	0	333	5	4	0	34	61	185	5	36	0	1	7	17	35	0	4	0	0	0	0	29	43	184	0	25	175	175	0	536	68	336	239	9	4	181	1	4	9	0	7	0	1	0	4
Miconia_barbeyana	2	0	0	0	0	1	10	0	12	5	11	0	0	0	0	0	0	31	0	0	0	3	0	9	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	7	0	1	6	8	0	15	3	10	33	1	0	0	0	0	0	0	1	0	0	0	0
Miconia_calvescens	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
