"animal_species_code","animal_species","KippsIndex","BillLength","BillWidth","Bodymass"
"B01","Ampelion_rubrocristatus",0.23,22.4,14.8,66.3
"B02","Andigena_hypoglauca",0.1,97.7,33.1,314
"B03","Anisognathus_igniventris",0.16,15.6,10.6,34
"B04","Aulacorhynchus_coeruleicinctis",0.11,80.3,26.9,208
"B05","Buthraupis_montana",0.21,21.8,13.5,96
"B06","Cacicus_chrysonotus",0.16,28,11.7,91.8
"B07","Chlorornis_riefferii",0.16,19.7,12,53
"B08","Diglossa_brunneiventris",0.16,14.6,6,12
"B09","Diglossa_cyanea",0.17,17.3,7.2,17.1
"B10","Diglossa_mystacalis",0.15,16.3,5.7,16.2
"B11","Diglossa_sittoides",0.19,13.6,5.2,9
"B12","Elaenia_albiceps",0.23,15.9,8.4,15.5
"B13","Elaenia_pallatangae",0.21,13.1,7.1,17.8
"B14","Iridosornis_jelskii",0.16,13.6,7.8,20
"B15","Mionectes_striaticollis",0.15,15.6,8.8,15
"B16","Patagioenas_fasciata",0.35,27.4,11.2,342.5
"B17","Penelope_montagnii",0.15,35.1,16.5,706
"B18","Pipreola_arcuata",0.18,26.2,17.6,118
"B19","Pipreola_intermedia",0.16,20.9,13.5,51
"B20","Tangara_nigroviridis",0.23,12.1,7.8,17
"B21","Tangara_vassorii",0.23,12.8,8,18
"B22","Thraupis_bonariensis",0.2,16.7,11,36
"B23","Thraupis_cyanocephala",0.16,16.9,10.7,36
"B24","Trogon_personatus",0.37,21.2,16,63.4
"B25","Turdus_fuscater",0.18,33.8,14.5,143
"B26","Turdus_serranus",0.21,30.7,13.3,84.9
