"plant_species_code","plant_species","meanL","meanD1","meanHeight","CropMass"
"P01","Cecropia_andina",180,8,16,77
"P02","Cecropia_angustifolia",57,12.5,20,57
"P03","Cedrela_cf_nebulosa",36.4,19.6,20,2437.4
"P04","Clethra_revoluta",3.1,5.2,5,4
"P05","Escallonia_paniculata",6.1,5.1,5,127.5
"P06","Faramea_202",10,15.6,7,6218.4
"P07","Fuchsia_lehmannii",8.7,4.6,3,13
"P08","Graffenrieda_emarginata",3.1,4.7,16,34.3
"P09","Indet_201",15.6,13.3,15,79.1
"P10","Isertia_laevis",10.3,11.6,17,756.1
"P11","Miconia_201",5.3,6.3,8,296.5
"P12","Miconia_punctata",3.4,3.9,10,441.9
"P13","Miconia_theaezans",6.6,6.2,11,290.2
"P14","Palicourea_200",5.7,10.9,10,138.9
"P15","Palicourea_201",6.9,8.5,5,93.5
"P16","Palicourea_thyrsiflora",4.4,4.7,3,83.9
"P17","Persea_weberbaueri",16.1,13.5,18,2219.3
"P18","Sapium_200",15.6,17.1,18,237.4
"P19","Siparuna_aspera",7.7,7.1,4,12.2
"P20","Viburnum_cf_obtectum",9.8,12.5,10,423.5
