"plant_species","plant_species_code","animal_species","animal_species_code","frequency"
"Cecropia_andina","P01","Anisognathus_lacrymosus","B01",0
"Cecropia_andina","P01","Anisognathus_somptuosus","B02",0
"Cecropia_andina","P01","Atlapetes_latinuchus","B03",0
"Cecropia_andina","P01","Aulacorhynchus_prasinus","B04",0
"Cecropia_andina","P01","Basileuterus_tristriatus","B05",0
"Cecropia_andina","P01","Catharus_ustulatus","B06",0
"Cecropia_andina","P01","Chamaepetes_goudotii","B07",0
"Cecropia_andina","P01","Chlorospingus_ophthalmicus","B08",0
"Cecropia_andina","P01","Creurgops_verticalis","B09",0
"Cecropia_andina","P01","Cyanocorax_yncas","B10",0
"Cecropia_andina","P01","Diglossa_albilatera","B11",0
"Cecropia_andina","P01","Diglossa_cyanea","B12",0
"Cecropia_andina","P01","Elaenia_albiceps","B13",0
"Cecropia_andina","P01","Hemispingus_frontalis","B14",0
"Cecropia_andina","P01","Iridosornis_analis","B15",0
"Cecropia_andina","P01","Lepidocolaptes_lacrymiger","B16",0
"Cecropia_andina","P01","Mionectes_striaticollis","B17",0
"Cecropia_andina","P01","Myadestes_ralloides","B18",0
"Cecropia_andina","P01","Myioborus_miniatus","B19",0
"Cecropia_andina","P01","Patagioenas_fasciata","B20",0
"Cecropia_andina","P01","Penelope_barbata","B21",0
"Cecropia_andina","P01","Pipraeidea_melanonota","B23",0
"Cecropia_andina","P01","Pipreola_riefferii","B24",0
"Cecropia_andina","P01","Rupicola_peruvianus","B25",1
"Cecropia_andina","P01","Tachyphonus_rufus","B26",0
"Cecropia_andina","P01","Tangara_labradorides","B27",0
"Cecropia_andina","P01","Tangara_nigroviridis","B28",0
"Cecropia_andina","P01","Tangara_parzudakii","B29",0
"Cecropia_andina","P01","Tangara_vassorii","B30",0
"Cecropia_andina","P01","Tangara_viridicollis","B31",0
"Cecropia_andina","P01","Tangara_xanthocephala","B32",0
"Cecropia_andina","P01","Thraupis_cyanocephala","B33",0
"Cecropia_andina","P01","Thraupis_episcopus","B34",0
"Cecropia_andina","P01","Turdus_fulviventris","B36",0
"Cecropia_andina","P01","Turdus_fuscater","B37",0
"Cecropia_andina","P01","Vireo_leucophrys","B38",0
"Cecropia_andina","P01","Pharomachrus_auriceps","B22",0
"Cecropia_andina","P01","Trogon_personatus","B35",0
"Cecropia_angustifolia","P02","Anisognathus_lacrymosus","B01",0
"Cecropia_angustifolia","P02","Anisognathus_somptuosus","B02",12
"Cecropia_angustifolia","P02","Atlapetes_latinuchus","B03",0
"Cecropia_angustifolia","P02","Aulacorhynchus_prasinus","B04",5
"Cecropia_angustifolia","P02","Basileuterus_tristriatus","B05",0
"Cecropia_angustifolia","P02","Catharus_ustulatus","B06",0
"Cecropia_angustifolia","P02","Chamaepetes_goudotii","B07",0
"Cecropia_angustifolia","P02","Chlorospingus_ophthalmicus","B08",0
"Cecropia_angustifolia","P02","Creurgops_verticalis","B09",1
"Cecropia_angustifolia","P02","Cyanocorax_yncas","B10",0
"Cecropia_angustifolia","P02","Diglossa_albilatera","B11",0
"Cecropia_angustifolia","P02","Diglossa_cyanea","B12",0
"Cecropia_angustifolia","P02","Elaenia_albiceps","B13",0
"Cecropia_angustifolia","P02","Hemispingus_frontalis","B14",0
"Cecropia_angustifolia","P02","Iridosornis_analis","B15",0
"Cecropia_angustifolia","P02","Lepidocolaptes_lacrymiger","B16",2
"Cecropia_angustifolia","P02","Mionectes_striaticollis","B17",0
"Cecropia_angustifolia","P02","Myadestes_ralloides","B18",0
"Cecropia_angustifolia","P02","Myioborus_miniatus","B19",0
"Cecropia_angustifolia","P02","Patagioenas_fasciata","B20",0
"Cecropia_angustifolia","P02","Penelope_barbata","B21",0
"Cecropia_angustifolia","P02","Pipraeidea_melanonota","B23",0
"Cecropia_angustifolia","P02","Pipreola_riefferii","B24",0
"Cecropia_angustifolia","P02","Rupicola_peruvianus","B25",1
"Cecropia_angustifolia","P02","Tachyphonus_rufus","B26",0
"Cecropia_angustifolia","P02","Tangara_labradorides","B27",3
"Cecropia_angustifolia","P02","Tangara_nigroviridis","B28",10
"Cecropia_angustifolia","P02","Tangara_parzudakii","B29",21
"Cecropia_angustifolia","P02","Tangara_vassorii","B30",0
"Cecropia_angustifolia","P02","Tangara_viridicollis","B31",0
"Cecropia_angustifolia","P02","Tangara_xanthocephala","B32",21
"Cecropia_angustifolia","P02","Thraupis_cyanocephala","B33",12
"Cecropia_angustifolia","P02","Thraupis_episcopus","B34",1
"Cecropia_angustifolia","P02","Turdus_fulviventris","B36",0
"Cecropia_angustifolia","P02","Turdus_fuscater","B37",2
"Cecropia_angustifolia","P02","Vireo_leucophrys","B38",0
"Cecropia_angustifolia","P02","Pharomachrus_auriceps","B22",2
"Cecropia_angustifolia","P02","Trogon_personatus","B35",1
"Cedrela_cf_nebulosa","P03","Anisognathus_lacrymosus","B01",0
"Cedrela_cf_nebulosa","P03","Anisognathus_somptuosus","B02",0
"Cedrela_cf_nebulosa","P03","Atlapetes_latinuchus","B03",0
"Cedrela_cf_nebulosa","P03","Aulacorhynchus_prasinus","B04",1
"Cedrela_cf_nebulosa","P03","Basileuterus_tristriatus","B05",0
"Cedrela_cf_nebulosa","P03","Catharus_ustulatus","B06",0
"Cedrela_cf_nebulosa","P03","Chamaepetes_goudotii","B07",0
"Cedrela_cf_nebulosa","P03","Chlorospingus_ophthalmicus","B08",0
"Cedrela_cf_nebulosa","P03","Creurgops_verticalis","B09",0
"Cedrela_cf_nebulosa","P03","Cyanocorax_yncas","B10",0
"Cedrela_cf_nebulosa","P03","Diglossa_albilatera","B11",0
"Cedrela_cf_nebulosa","P03","Diglossa_cyanea","B12",0
"Cedrela_cf_nebulosa","P03","Elaenia_albiceps","B13",0
"Cedrela_cf_nebulosa","P03","Hemispingus_frontalis","B14",0
"Cedrela_cf_nebulosa","P03","Iridosornis_analis","B15",0
"Cedrela_cf_nebulosa","P03","Lepidocolaptes_lacrymiger","B16",0
"Cedrela_cf_nebulosa","P03","Mionectes_striaticollis","B17",0
"Cedrela_cf_nebulosa","P03","Myadestes_ralloides","B18",0
"Cedrela_cf_nebulosa","P03","Myioborus_miniatus","B19",0
"Cedrela_cf_nebulosa","P03","Patagioenas_fasciata","B20",0
"Cedrela_cf_nebulosa","P03","Penelope_barbata","B21",0
"Cedrela_cf_nebulosa","P03","Pipraeidea_melanonota","B23",0
