"animal_species_code","animal_species","KippsIndex","BillLength","BillWidth","Bodymass"
"B01","Andigena_hypoglauca",0.27,91.7,33,287
"B02","Andigena_nigrirostris",0.23,88.6,33.5,350
"B03","Anisognathus_lacrymosus",0.28,12.4,9.8,36.75
"B04","Anisognathus_somptuosus",0.17,16.3,9.8,47.36666667
"B05","Arremon_brunneinucha",0.09,13.9,8.3,42.875
"B06","Atlapetes_schistaceus",0.08,12.2,6.8,25.3
"B07","Aulacorhynchus_prasinus",0.19,75.7,26.7,193.25
"B08","Buthraupis_montana",0.2,21.8,13.2,96
"B09","Cacicus_chrysonotus",0.15,25.8,10.7,106
"B10","Chamaepetes_goudotii",0.31,37.3,17.8,800
"B11","Chlorornis_riefferii",0.16,19.7,12,53
"B12","Chlorospingus_ophthalmicus",0.16,14.1,7.7,18.95
"B13","Cnemoscopus_rubrirostris",0.12,13.8,7.5,18.75
"B14","Conirostrum_albifrons",0.34,13.6,7,92.3
"B15","Dendroica_fusca",0.06,10.7,4.6,10.33333333
"B16","Diglossa_caerulescens",0.16,15,6.3,14.525
"B17","Diglossa_cyanea",0.17,17.3,7.2,17.05
"B18","Euphonia_xanthogaster",0.22,11.7,7.4,13
"B19","Leptopogon_rufipectus",0.07,13,6.5,13.1875
"B20","Lipaugus_fuscocinereus",0.37,31.8,20.6,137.5
"B21","Mecocerculus_poecilocercus",0.13,9,5,6.6
"B22","Mionectes_striaticollis",0.28,13.2,6.8,12.625
"B23","Pachyramphus_polychopterus",0.1,14.8,9.7,22.03333333
"B24","Pachyramphus_versicolor",0.08,11.2,6.9,15.5
"B25","Patagioenas_subvinacea",0.35,19,7.1,169.5
"B26","Penelope_montagnii",0.22,33.7,18.1,706
"B27","Phyllomyias_nigrocapillus",0.13,8.4,4.9,9.583333333
"B28","Pipraeidea_melanonota",0.24,12.9,7.8,18.5
"B29","Pipreola_riefferii",0.14,17,11.5,53.26666667
"B30","Poecilotriccus_ruficeps",0.09,12.5,5.2,6.6225
"B31","Tangara_heinei",0.15,11.2,7.5,20.6
"B32","Tangara_labradorides",0.13,11.8,7.3,14.875
"B33","Tangara_nigroviridis",0.14,11.5,7.4,17.08333333
"B34","Tangara_vassorii",0.23,12.8,8,18
"B35","Tangara_xanthocephala",0.22,12.8,7.3,19
"B36","Thraupis_cyanocephala",0.16,16.9,10.7,36
"B37","Trogon_personatus",0.37,21.2,16,63.4
"B38","Turdus_serranus",0.21,30.7,13.3,84.9
"B39","Wilsonia_canadensis",0.09,10.6,5.5,10.26666667
