"plant_species","plant_species_code","animal_species","animal_species_code","frequency"
"Cestrum_humboldtii","P03","Anisognathus_lacrymosus","B03",0
"Cestrum_humboldtii","P03","Anisognathus_somptuosus","B04",0
"Cestrum_humboldtii","P03","Atlapetes_schistaceus","B06",0
"Cestrum_humboldtii","P03","Aulacorhynchus_prasinus","B07",1
"Cestrum_humboldtii","P03","Arremon_brunneinucha","B05",0
"Cestrum_humboldtii","P03","Buthraupis_montana","B08",0
"Cestrum_humboldtii","P03","Cacicus_chrysonotus","B09",0
"Cestrum_humboldtii","P03","Wilsonia_canadensis","B39",0
"Cestrum_humboldtii","P03","Chamaepetes_goudotii","B10",0
"Cestrum_humboldtii","P03","Chlorornis_riefferii","B11",0
"Cestrum_humboldtii","P03","Chlorospingus_ophthalmicus","B12",0
"Cestrum_humboldtii","P03","Cnemoscopus_rubrirostris","B13",0
"Cestrum_humboldtii","P03","Patagioenas_subvinacea","B25",0
"Cestrum_humboldtii","P03","Conirostrum_albifrons","B14",0
"Cestrum_humboldtii","P03","Dendroica_fusca","B15",0
"Cestrum_humboldtii","P03","Diglossa_caerulescens","B16",0
"Cestrum_humboldtii","P03","Diglossa_cyanea","B17",0
"Cestrum_humboldtii","P03","Euphonia_xanthogaster","B18",0
"Cestrum_humboldtii","P03","Leptopogon_rufipectus","B19",0
"Cestrum_humboldtii","P03","Lipaugus_fuscocinereus","B20",0
"Cestrum_humboldtii","P03","Mecocerculus_poecilocercus","B21",0
"Cestrum_humboldtii","P03","Mionectes_striaticollis","B22",0
"Cestrum_humboldtii","P03","Pachyramphus_polychopterus","B23",0
"Cestrum_humboldtii","P03","Pachyramphus_versicolor","B24",0
"Cestrum_humboldtii","P03","Penelope_montagnii","B26",0
"Cestrum_humboldtii","P03","Phyllomyias_nigrocapillus","B27",0
"Cestrum_humboldtii","P03","Pipraeidea_melanonota","B28",0
"Cestrum_humboldtii","P03","Pipreola_riefferii","B29",0
"Cestrum_humboldtii","P03","Poecilotriccus_ruficeps","B30",0
"Cestrum_humboldtii","P03","Tangara_heinei","B31",0
"Cestrum_humboldtii","P03","Tangara_labradorides","B32",0
"Cestrum_humboldtii","P03","Tangara_nigroviridis","B33",0
"Cestrum_humboldtii","P03","Tangara_vassorii","B34",0
"Cestrum_humboldtii","P03","Tangara_xanthocephala","B35",2
"Cestrum_humboldtii","P03","Thraupis_cyanocephala","B36",1
"Cestrum_humboldtii","P03","Trogon_personatus","B37",0
"Cestrum_humboldtii","P03","Turdus_serranus","B38",0
"Cestrum_racemosum","P04","Andigena_hypoglauca","B01",0
"Cestrum_racemosum","P04","Andigena_nigrirostris","B02",0
"Cestrum_racemosum","P04","Anisognathus_lacrymosus","B03",0
"Cestrum_racemosum","P04","Anisognathus_somptuosus","B04",3
"Cestrum_racemosum","P04","Atlapetes_schistaceus","B06",0
