"plant_species_code","plant_species","meanL","meanD1","meanHeight","CropMass"
"P01","Antidaphne_viscoidea",4.8,4.6,10,2.2
"P02","Cayaponia_buraeavii",16.6,14.2,20,235.6
"P03","Cestrum_humboldtii",5.8,5,2,362.5
"P04","Cestrum_racemosum",5.7,5.1,7.5,449.4
"P05","Cissus_cyssioides",8.3,8.5,11,75.6
"P06","Cladocolea_archeri",5.8,4.2,2,48.3
"P07","Clusia_alata",14.8,5.5,15,34.2
"P08","Cordia_cylindrostachya",8,9,10,34.7
"P09","Freziera_bonplandiana",8.5,7.2,18,459.8
"P10","Geonoma_undata",8.9,7.1,8.5,2586.9
"P11","Guettarda_crispiflora",9.2,7.6,13,131.9
"P12","Hyeronima_scabrida",5.6,4.7,16.6,114.5
"P13","Miconia_aggregata",7.1,6.6,3.5,49.3
"P14","Miconia_lonchophylla",4.1,4.7,8,32.6
"P15","Miconia_orescia",5.3,5.8,3.5,206.1
"P16","Miconia_sp1",4,4.6,11,20.4
"P17","Myrsine_coriacea",4.7,3.5,8.7,3675.7
"P18","Oreopanax_caricifolium",4.6,4.5,9.6,2811.8
"P19","Palicourea_angustifolia",10.8,13.3,5.5,335.2
"P20","Passiflora_alnifolia",14.6,15,10,537.1
"P21","Psychotria_sp",6.3,5.9,6,10.5
"P22","Rubus_glaucus",11.9,11.5,0.5,16.8
"P23","Siparuna_laurifolia",6.5,4.6,6,1.7
"P24","Solanum_colombianum",16.9,17.2,18,1870.6
"P25","Thibaudia_floribundia",6.7,7.9,11,5069.3
"P26","Tournefortia_fuliginosa",6.2,7.1,8,264.7
